post_id,text
pfbid0cHKpsL5LjoQvUVoVKy9Bgo3v4KWXrGCnWwNER9t1kMLURP8Aob68Fnhtbhfc43FKl,Cough - Remedy to get rid of cough
pfbid0RJxXGPEb8VjLpqQ4k6jRbk4C1ZjWk54FqaP15BsJJKboDPo33U6pFsFkp6ig4n6Jl,"Frequent cold and cough in children is a very common health problem now a days. In the last few decades, recurrent bronchitis and asthma problems in children have been increasing. Homeopathy treatment gives a complete and permanent cure to those health problems. Homeopathy medicines are natural and very safe for the children. Contact us at: 9937412150 , 7978310147 Address: Muticare Homeopathy Clinic, HIG-4/4-Ext, Housing Board, Chandrasekharpur, Bhubaneswar"
pfbid0P6rVoRHrKA81bwW3WzV9bQGGwtC1tZANbfEkr42dN4hWPXnbXqookqkQHzbbiuQzl,Panahon ngayon ng tag-ulan! Alam mo ba na magkaiba ang gamot sa dry cough at wet cough? Panoorin sa video na ito.
pfbid02G9DHV8tfdKoAMBT5ZFCwwbmCn4bx2QdJfRVMufTB1XoLh7V9bwwYKUZV5TpmidjGl,Dry Cough: Anong Dahilan?
pfbid0XEyBfZ1ZerPCZefPEySnTtbf3eBaVKXrvzcCZZaXbvgAUwxVZgWae36r8LanecuQl,"Ibinahagi ni Manila Mayor Isko Moreno ang mga larawang ito habang siya ay nasa Sta. Ana Hospital at nagpapagaling mula sa COVID-19. ""I do not have a fever and my oxygen levels are normal. While I do have a cough and some body pains, the doctors and I believe mine is just a mild case. I truly hope so for I am eager to be back in City Hall, working for you!"": Mayor Isko Moreno"
pfbid0goeYN8wzgeFhJtESbd1ifTAJAJtvJoNkq9iWeW64sbkpfgaTsuSCddPfVii7jkd8l,DISORDERED COUGH: WHAT IS THE SOLUTION?
pfbid0CM3ef1tHJXJooDKeH3EwYaw5RRychYu1CE7ZD3CaPQxPrYMUitN1JTRr3yYtxtG7l,"‘I TESTED POSITIVE FOR THE 4TH TIME BUT…’LOOK: A medical frontliner in Imus, Cavite has tested four times for Covid-19 in just a year and three months since the pandemic hit the Philippines and put the country in lockdown.Dr. Jennifer Gaspar first contracted the virus in April 2020. According to her Facebook post, she suffered from diarrhea and dyspnea (shortness of breath), and was admitted in the hospital for two weeks.… See more"
pfbid02R2uLXNPZE396f1C7VfRhUGmV4LmiCBPmXqWT46eGKRsaNQj78izLdyCSg6xjYrdwl,*cough* not coughing emoji *cough*
pfbid02zSQ8ru9DRv1vSPFb94saqxcXcm8uHTGAS4BWkppBDC59S8MKNtvSCpHYLTg7RSfLl,HOME REMEDY FOR ANY TYPE OF COUGH AND YOU WILL NEVER BUY COUGH SYRUPDRY COUGH WET COUGHTBWHOOPING COUGH… See more
pfbid02rmazhS7ABaEcV8DAXxHozxWy7w7AczFwW9gvAXQazMvdd2MTCrp6duSKktWbs9fnl,खांसी {Cough}
pfbid02ozijpuP8hJ4D5Nc6mgmuUZ1rtiCy9Uq6wSHYymSFeiUABAwSABg6NSpYu7qSMVmKl,"This morning, I lost an 8 month old baby to COVID-19. He was a previously well infant who presented with 6 days of cough and fever before coming to the ER with recurrent seizures. He went into cardiac arrest 6 hours after the referral and died shortly thereafter.The father is a Grab driver who staunchly believed that COVID wasn’t real. He refused vaccination and accused the ER doctors of fabricating the COVID-19 test result, just so the hospital would have an “excuse” for… See more"
